id,row_grade,input_type,stage_at_time,product_at_time,input_text,expected_json,output_json,field_grades_json,error
golden_01,PERFECT,rep_note,QUALIFIED,MCA,"Industry is trucking, guy does about $80k/mo. Wants 50k for new equipment.","{""industry"": ""trucking"", ""monthly_revenue"": {""value_usd"": 80000, ""raw"": ""$80k/mo""}, ""requested_amount"": {""value_usd"": 50000, ""raw"": ""50k""}, ""use_of_funds"": {""category"": ""equipment"", ""detail"": ""new equipment""}, ""product_interest"": [""MCA"", ""EQUIPMENT""]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Trucking"", ""monthly_revenue"": {""value_usd"": 80000, ""raw"": ""$80k/mo""}, ""use_of_funds"": {""category"": ""equipment"", ""detail"": ""new equipment""}, ""requested_amount"": {""value_usd"": 50000, ""raw"": ""50k""}, ""product_interest"": [""MCA"", ""EQUIPMENT""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""monthly_revenue"": ""PASS"", ""requested_amount"": ""PASS"", ""use_of_funds"": ""PASS"", ""product_interest"": ""PASS""}",
golden_02,PERFECT,rep_note,ENGAGED_INTERESTED,SBA,Restaurant in Florida. Does 110k monthly. Looking for 200k SBA for expansion.,"{""industry"": ""restaurant"", ""monthly_revenue"": {""value_usd"": 110000, ""raw"": ""110k monthly""}, ""requested_amount"": {""value_usd"": 200000, ""raw"": ""200k""}, ""use_of_funds"": {""category"": ""expansion""}, ""product_interest"": [""SBA""]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Restaurant"", ""monthly_revenue"": {""value_usd"": 110000, ""raw"": ""110k""}, ""use_of_funds"": {""category"": ""expansion"", ""detail"": ""expansion""}, ""requested_amount"": {""value_usd"": 200000, ""raw"": ""200k""}, ""product_interest"": [""SBA""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""monthly_revenue"": ""PASS"", ""requested_amount"": ""PASS"", ""use_of_funds"": ""PASS"", ""product_interest"": ""PASS""}",
golden_03,PERFECT,rep_note,NEW_LEAD,MCA,"Has 2 mca's currently, paying [LENDER] $500/week and [LENDER] $700/week. Wants consolidation.","{""use_of_funds"": {""category"": ""debt_consolidation""}, ""product_interest"": [""MCA""], ""has_stacked_history"": true, ""current_active_positions"": {""count"": 2, ""total_debt_usd"": null}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": {""category"": ""debt_consolidation"", ""detail"": ""consolidation""}, ""requested_amount"": null, ""product_interest"": [""MCA""], ""pending_actions"": [], ""has_stacked_history"": true, ""current_active_positions"": {""count"": 2, ""total_debt_usd"": null}, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""use_of_funds"": ""PASS"", ""product_interest"": ""PASS"", ""has_stacked_history"": ""PASS"", ""current_active_positions"": ""PASS""}",
golden_04,PARTIAL,rep_note,APPROVED_OFFERS,HELOC,Follow up Monday after he talks to wife.,"{""pending_actions"": [{""actor"": ""rep"", ""action"": ""follow up after lead talks to wife"", ""timing"": ""next_week""}]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""HELOC""], ""pending_actions"": [{""actor"": ""lead"", ""action"": ""talk to wife"", ""timing"": ""this_week""}, {""actor"": ""rep"", ""action"": ""follow up Monday"", ""timing"": ""next_week""}], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""pending_actions"": ""PARTIAL""}",
golden_05,PARTIAL,rep_note,NURTURE,,"Real estate guy, owns 3 commercial properties. Reach out in 2 weeks.","{""industry"": ""commercial real estate"", ""pending_actions"": [{""actor"": ""rep"", ""action"": ""reach out"", ""timing"": ""later""}]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Commercial real estate"", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""CRE""], ""pending_actions"": [{""actor"": ""rep"", ""action"": ""reach out"", ""timing"": ""next_week""}], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""pending_actions"": ""PARTIAL""}",
golden_06,PERFECT,rep_note,QUALIFIED,EQUIPMENT,"Construction company, 200k/month revenue. Needs 150k for excavator.","{""industry"": ""construction"", ""monthly_revenue"": {""value_usd"": 200000, ""raw"": ""200k/month""}, ""requested_amount"": {""value_usd"": 150000, ""raw"": ""150k""}, ""use_of_funds"": {""category"": ""equipment"", ""detail"": ""excavator""}, ""product_interest"": [""EQUIPMENT""]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Construction"", ""monthly_revenue"": {""value_usd"": 200000, ""raw"": ""200k/month""}, ""use_of_funds"": {""category"": ""equipment"", ""detail"": ""excavator""}, ""requested_amount"": {""value_usd"": 150000, ""raw"": ""150k""}, ""product_interest"": [""EQUIPMENT""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""monthly_revenue"": ""PASS"", ""requested_amount"": ""PASS"", ""use_of_funds"": ""PASS"", ""product_interest"": ""PASS""}",
golden_07,PARTIAL,client_sms,ENGAGED_INTERESTED,MCA,Yeah I do about 60k a month and need maybe 40k working capital,"{""monthly_revenue"": {""value_usd"": 60000, ""raw"": ""60k a month""}, ""requested_amount"": {""value_usd"": 40000, ""raw"": ""40k""}, ""use_of_funds"": {""category"": ""working_capital"", ""detail"": ""working capital""}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": {""value_usd"": 60000, ""raw"": ""60k""}, ""use_of_funds"": {""category"": ""working_capital"", ""detail"": null}, ""requested_amount"": {""value_usd"": 40000, ""raw"": ""40k""}, ""product_interest"": [""MCA""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""monthly_revenue"": ""PASS"", ""requested_amount"": ""PASS"", ""use_of_funds"": ""PARTIAL""}",
golden_08,PERFECT,rep_note,QUALIFIED,MCA,"Stacked up bad. 4 active MCAs, owes about 180k total. Needs out.","{""use_of_funds"": {""category"": ""debt_consolidation""}, ""has_stacked_history"": true, ""current_active_positions"": {""count"": 4, ""total_debt_usd"": 180000}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": {""category"": ""debt_consolidation"", ""detail"": ""exit existing MCA positions""}, ""requested_amount"": null, ""product_interest"": [""MCA""], ""pending_actions"": [], ""has_stacked_history"": true, ""current_active_positions"": {""count"": 4, ""total_debt_usd"": 180000}, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""use_of_funds"": ""PASS"", ""has_stacked_history"": ""PASS"", ""current_active_positions"": ""PASS""}",
golden_09,PERFECT,rep_note,NEW_LEAD,MCA,Industry: e-commerce. Took a new MCA last week on top of his existing 2.,"{""industry"": ""e-commerce"", ""product_interest"": [""MCA""], ""has_stacked_history"": true, ""current_active_positions"": {""count"": 3, ""total_debt_usd"": null}, ""recent_stacking_activity"": {""active"": true, ""window"": ""last_30d""}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""e-commerce"", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""MCA""], ""pending_actions"": [], ""has_stacked_history"": true, ""current_active_positions"": {""count"": 3, ""total_debt_usd"": null}, ""recent_stacking_activity"": {""active"": true, ""window"": ""last_30d""}}","{""industry"": ""PASS"", ""product_interest"": ""PASS"", ""has_stacked_history"": ""PASS"", ""current_active_positions"": ""PASS"", ""recent_stacking_activity"": ""PASS""}",
golden_10,PARTIAL,rep_note,ENGAGED_INTERESTED,,"Healthcare practice, dentist. Pulls in $500k a month. Asking about LOC options.","{""industry"": ""healthcare"", ""monthly_revenue"": {""value_usd"": 500000, ""raw"": ""$500k a month""}, ""product_interest"": [""LOC""]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Healthcare (dentist)"", ""monthly_revenue"": {""value_usd"": 500000, ""raw"": ""$500k a month""}, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""LOC""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PARTIAL"", ""monthly_revenue"": ""PASS"", ""product_interest"": ""PASS""}",
golden_11,PERFECT,client_sms,QUALIFIED,SBA,I need to send last 3 bank statements right? When can I get them to you,"{""pending_actions"": [{""actor"": ""lead"", ""action"": ""send last 3 bank statements"", ""timing"": null}]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""SBA""], ""pending_actions"": [{""actor"": ""lead"", ""action"": ""send last 3 bank statements"", ""timing"": null}], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""pending_actions"": ""PASS""}",
golden_12,PERFECT,rep_note,NURTURE,MCA,"Used to stack hard back in 2023, all paid off now. Clean profile. Trucking.","{""industry"": ""trucking"", ""has_stacked_history"": true, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Trucking"", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""MCA""], ""pending_actions"": [], ""has_stacked_history"": true, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""has_stacked_history"": ""PASS"", ""current_active_positions"": ""PASS"", ""recent_stacking_activity"": ""PASS""}",
golden_13,PERFECT,rep_note,ENGAGED_INTERESTED,MCA,Auto repair shop owner. Does 90k a month. Wants 60k for inventory and a lift.,"{""industry"": ""auto repair"", ""monthly_revenue"": {""value_usd"": 90000, ""raw"": ""90k a month""}, ""requested_amount"": {""value_usd"": 60000, ""raw"": ""60k""}, ""use_of_funds"": {""category"": ""working_capital"", ""detail"": ""inventory and a lift""}}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": ""Auto repair"", ""monthly_revenue"": {""value_usd"": 90000, ""raw"": ""90k a month""}, ""use_of_funds"": {""category"": ""working_capital"", ""detail"": ""inventory and a lift""}, ""requested_amount"": {""value_usd"": 60000, ""raw"": ""60k""}, ""product_interest"": [""MCA"", ""EQUIPMENT""], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""industry"": ""PASS"", ""monthly_revenue"": ""PASS"", ""requested_amount"": ""PASS"", ""use_of_funds"": ""PASS""}",
golden_14,FAIL,rep_note,APPROVED_OFFERS,MCA,Send him the offer today. Hot lead.,"{""pending_actions"": [{""actor"": ""rep"", ""action"": ""send offer"", ""timing"": ""today""}]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": ""unrelated"", ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [], ""pending_actions"": [], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""pending_actions"": ""FAIL""}",
golden_15,PARTIAL,client_sms,QUALIFIED,HELOC,"Hit me up next week, traveling rn","{""pending_actions"": [{""actor"": ""rep"", ""action"": ""follow up"", ""timing"": ""next_week""}]}","{""_extraction_scope"": ""lead_only"", ""skip_reason"": null, ""industry"": """", ""monthly_revenue"": null, ""use_of_funds"": null, ""requested_amount"": null, ""product_interest"": [""HELOC""], ""pending_actions"": [{""actor"": ""rep"", ""action"": ""follow up next week"", ""timing"": ""next_week""}], ""has_stacked_history"": false, ""current_active_positions"": null, ""recent_stacking_activity"": {""active"": false, ""window"": null}}","{""pending_actions"": ""PARTIAL""}",
